MMSI,Timestamp,Distance(km),Speed(km/h)
228000000,27/01/2025 15:03:08,98.02692680104602,5881.615608062761
228000000,27/01/2025 15:03:18,98.05184454233533,5883.11067254012
228000000,27/01/2025 15:03:19,98.05843061819668,5883.505837091801
228000000,27/01/2025 15:03:27,98.07890987649793,5884.734592589876
228000000,27/01/2025 15:03:28,98.08617702798605,5885.170621679164
228000000,27/01/2025 15:03:37,98.109067169848,5886.54403019088
228000000,27/01/2025 15:03:38,98.11560535432577,5886.936321259546
228000000,27/01/2025 15:03:46,98.13601216169496,5888.160729701698
228000000,27/01/2025 15:03:49,98.14356186939462,5888.6137121636775
228000000,27/01/2025 15:03:56,98.16668035585602,5890.000821351361
228000000,27/01/2025 15:04:00,98.17553131079852,5890.531878647911
228000000,27/01/2025 15:04:07,98.20107692909141,5892.064615745485
228000000,27/01/2025 15:04:08,98.2083138879052,5892.498833274312
228000000,27/01/2025 15:04:18,98.23356341362049,5894.013804817229
228000000,27/01/2025 15:04:19,98.2408195297416,5894.449171784496
228000000,27/01/2025 15:04:27,98.26163208315036,5895.697924989022
228000000,27/01/2025 15:04:28,98.26818713785774,5896.091228271464
228000000,27/01/2025 15:04:38,98.3005028195987,5898.030169175922
228000000,27/01/2025 15:04:48,98.32711018530348,5899.626611118209
228000000,27/01/2025 15:04:58,98.35561290260935,5901.336774156561
228000000,27/01/2025 15:05:08,98.39082612418517,5903.44956745111
228000000,27/01/2025 15:05:18,98.41636657245184,5904.98199434711
228000000,27/01/2025 15:05:19,98.42380240972963,5905.428144583778
228000000,27/01/2025 15:05:27,98.44483189019768,5906.68991341186
228000000,27/01/2025 15:05:38,98.46098248742123,5907.658949245274
228000000,27/01/2025 15:05:38,98.48672908475919,5909.203745085551
228000000,27/01/2025 15:05:48,98.51353876918623,5910.812326151174
228000000,27/01/2025 15:05:58,98.54151720243794,5912.491032146277
228000000,27/01/2025 15:06:08,98.57579884529608,5914.547930717765
228000000,27/01/2025 15:06:18,98.60158689631237,5916.095213778743
228000000,27/01/2025 15:06:19,98.60925458065842,5916.555274839505
228000000,27/01/2025 15:06:26,98.62785048701453,5917.671029220872
228000000,27/01/2025 15:06:29,98.63676955788179,5918.206173472908
228000000,27/01/2025 15:06:38,98.67163694729375,5920.298216837625
228000000,27/01/2025 15:06:48,98.70043853812038,5922.026312287223
228000000,27/01/2025 15:06:58,98.72650080410753,5923.590048246452
228000000,27/01/2025 15:07:08,98.76237454695924,5925.742472817555
228000000,27/01/2025 15:07:16,98.78367668105835,5927.020600863501
228000000,27/01/2025 15:07:19,98.79173016013063,5927.503809607838
228000000,27/01/2025 15:07:26,98.81547047033779,5928.928228220268
228000000,27/01/2025 15:07:29,98.82395479260097,5929.437287556058
228000000,27/01/2025 15:07:38,98.8579217399856,5931.475304399136
228000000,27/01/2025 15:07:48,98.88644812293133,5933.186887375879
228000000,27/01/2025 15:07:58,98.91251062520978,5934.750637512587
228000000,27/01/2025 15:08:08,98.94985198480745,5936.991119088447
228000000,27/01/2025 15:08:16,98.97111687747453,5938.267012648472
228000000,27/01/2025 15:08:19,98.97967388327505,5938.780432996504
228000000,27/01/2025 15:08:26,99.00365103335062,5940.219062001037
228000000,27/01/2025 15:08:29,99.01272788014197,5940.763672808518
228000000,27/01/2025 15:08:38,99.04121708301923,5942.473024981154
